Lat,Lon,NASC,year
42.1342,-124.9683,67.1278554284907,1995
42.1338,-124.9457,128.482323874065,1995
42.1345,-124.9343,222.324325850628,1995
42.1347,-124.923,173.103755470846,1995
42.1348,-124.9117,669.321473951715,1995
42.1352,-124.9005,102.844571509247,1995
42.1352,-124.8895,179.953536637018,1995
42.1348,-124.878,494.064930114358,1995
42.1343,-124.8667,53.0368770295073,1995
42.1347,-124.8553,1465.55960751094,1995
42.1348,-124.8443,275.556910913455,1995
42.1348,-124.833,343.565452491882,1995
42.135,-124.8107,123.296060991105,1995
42.1348,-124.7993,752.301680079063,1995
42.136,-124.6078,233.479683749824,1995
42.1358,-124.5963,77.1089651277707,1995
42.1353,-124.5852,182.399887053508,1995
42.3035,-124.6697,337.498503458986,1995
42.303,-124.6808,105.975900042355,1995
42.3022,-124.6922,108.324396442186,1995
42.3022,-124.7033,174.47371170408,1995
42.3025,-124.7148,233.871099816462,1995
42.3017,-124.7262,116.544133841593,1995
42.301,-124.7373,12.2317520824509,1995
42.3003,-124.7825,0.978540166596075,1995
42.301,-124.7938,127.699491740788,1995
42.301,-124.8052,458.64177608358,1995
42.3007,-124.8163,612.468290272483,1995
42.3012,-124.8277,42.6643512635889,1995
42.3015,-124.8388,49.7098404630806,1995
42.302,-124.8613,296.204108428632,1995
42.4682,-125.0378,1319.47818963848,1995
42.4682,-125.0265,463.665235147755,1995
42.4685,-125.0152,382.159239481971,1995
42.468,-125.0038,45.3476985689532,1995
42.4678,-124.9927,1659.18638971119,1995
42.4678,-124.9812,501.421689022346,1995
42.468,-124.97,298.256008649547,1995
42.4678,-124.9585,45.8471225620034,1995
42.4682,-124.9473,348.298292753172,1995
42.4685,-124.936,98.7860658253188,1995
42.469,-124.9245,169.204848845389,1995
42.4693,-124.9133,169.704272838439,1995
42.4697,-124.9018,383.058202669462,1995
42.4698,-124.8907,330.718568197806,1995
42.4693,-124.8793,214.153008219902,1995
42.469,-124.868,361.083546975255,1995
42.4687,-124.8567,647.852803784649,1995
42.4688,-124.8453,479.74668772397,1995
42.4685,-124.834,1081.95213854384,1995
42.468,-124.8227,3495.7681817538,1995
42.468,-124.8115,3771.05068672304,1995
42.468,-124.8002,1704.33431868293,1995
42.4683,-124.7887,544.971461216319,1995
42.635,-124.6808,48.6438969230842,1995
42.6355,-124.6922,3172.24131905592,1995
42.636,-124.7037,4712.96433761561,1995
42.636,-124.715,638.363747916696,1995
42.636,-124.7263,1155.86688951526,1995
42.6358,-124.7377,915.943603253967,1995
42.6347,-124.7545,88.0983923740457,1995
42.6352,-124.766,250.111535719513,1995
42.6355,-124.7772,55.5359480271762,1995
42.636,-124.7885,321.928705920124,1995
42.6362,-124.7998,64.5255799020788,1995
42.6362,-124.8115,247.514530955652,1995
42.6362,-124.8227,69.8194742284104,1995
42.6362,-124.834,100.184453005859,1995
42.636,-124.8567,6.19285751382181,1995
42.6358,-124.8682,96.5886002558982,1995
42.6357,-124.8795,16.7806461664849,1995
42.6355,-124.9588,60.4303031590676,1995
42.6355,-124.9708,161.214064956587,1995
42.6357,-124.9822,187.184112595195,1995
42.6358,-124.9935,666.631145923334,1995
42.636,-125.0163,706.684950165956,1995
42.6358,-125.0277,600.707178840715,1995
42.6358,-125.039,719.86974358248,1995
42.6362,-125.0503,673.123657832986,1995
42.6362,-125.0618,819.355002998069,1995
42.636,-125.0732,1336.35872060358,1995
42.6358,-125.0845,700.991516645184,1995
42.6357,-125.0958,634.068701576465,1995
42.635,-125.1072,1405.67877083894,1995
42.6345,-125.1185,775.205922012436,1995
42.8018,-125.1522,96.6884850545082,1995
42.8018,-125.1408,712.378383686728,1995
42.802,-125.1293,989.059275836509,1995
42.802,-125.118,406.131591148379,1995
42.802,-125.1065,495.828140300185,1995
42.802,-125.0952,463.265695953315,1995
42.8018,-125.084,740.446012096146,1995
42.8017,-125.0725,1063.07391160654,1995
42.802,-125.0612,551.563857924581,1995
42.8017,-125.0498,608.897732326738,1995
42.8017,-125.0385,355.090459058654,1995
42.8018,-125.027,242.420406226541,1995
42.802,-125.0157,19.9769597220058,1995
42.802,-124.9473,4.7944703332814,1995
42.802,-124.936,855.113760900459,1995
42.8018,-124.9132,237.126511900209,1995
42.8007,-124.8562,125.954731047247,1995
42.8012,-124.8448,230.334345594727,1995
42.8017,-124.8333,32.0630203538194,1995
42.8015,-124.8218,94.0914802906475,1995
42.8018,-124.8107,108.774545686322,1995
42.8018,-124.799,909.950515337365,1995
42.8022,-124.7877,1640.50793237112,1995
42.8018,-124.7763,107.975467297441,1995
42.969,-124.8668,272.186076212329,1995
42.9687,-124.8783,3110.51251351492,1995
42.9685,-124.8897,685.50937286063,1995
42.9682,-124.9012,654.644970090131,1995
42.9682,-124.9125,848.221709796367,1995
42.9682,-124.924,1065.07160757874,1995
42.9683,-124.9355,348.897601544832,1995
42.9687,-124.9583,288.367413587154,1995
42.969,-124.9698,460.069382397794,1995
42.9688,-124.9812,380.660967502821,1995
42.9695,-124.9927,505.317196168137,1995
42.9693,-125.0038,620.484368965501,1995
42.9692,-125.0155,518.002565591611,1995
42.9697,-125.0267,280.576399295572,1995
42.9702,-125.038,271.786537017889,1995
42.9707,-125.0492,293.561423114876,1995
42.9705,-125.0607,122.658532693116,1995
42.9697,-125.0722,779.600853151277,1995
42.9698,-125.0835,251.210268504223,1995
42.9683,-125.1063,109.873278471032,1995
43.1348,-124.9345,122.658532693116,1995
43.1353,-124.9233,1165.45583018182,1995
43.1352,-124.9113,1460.41564047724,1995
43.1353,-124.8997,2204.55739012195,1995
43.135,-124.8877,2014.47661836707,1995
43.1348,-124.8765,1588.76760669112,1995
43.1348,-124.8662,1407.17704281809,1995
43.1352,-124.8547,586.823191833921,1995
43.1353,-124.8433,280.776168892792,1995
43.135,-124.8318,252.908310080594,1995
43.1348,-124.8203,288.567183184374,1995
43.134,-124.8068,372.270644419579,1995
43.1347,-124.7953,1551.31080721236,1995
43.1353,-124.7838,4329.4067109531,1995
43.1353,-124.7727,4112.55681317073,1995
43.1353,-124.7612,2096.38215322729,1995
43.1355,-124.7497,1097.73393672422,1995
43.135,-124.738,2384.64968201584,1995
43.1347,-124.7265,2327.61546200951,1995
43.1343,-124.7152,1941.96025457619,1995
43.1338,-124.7038,530.887704612305,1995
43.1345,-124.6923,310.342069281361,1995
43.1347,-124.681,75.313138151962,1995
43.303,-124.6353,1411.57197395693,1995
43.3028,-124.6703,813.561684678687,1995
43.3023,-124.6818,307.04587092723,1995
43.3023,-124.6933,721.66766995746,1995
43.3017,-124.705,573.039089625737,1995
43.3017,-124.7163,788.7902546234,1995
43.3015,-124.7278,596.012593306044,1995
43.3015,-124.7393,1384.30342393639,1995
43.301,-124.7508,578.432868750679,1995
43.301,-124.7623,550.16547074404,1995
43.3015,-124.7738,705.586217381246,1995
43.3013,-124.7853,433.953316676248,1995
43.3013,-124.7968,526.275001105559,1995
43.3015,-124.8082,560.885282801928,1995
43.3017,-124.8197,434.781313846018,1995
43.302,-124.831,334.924855171804,1995
43.3017,-124.8427,370.942732056781,1995
43.302,-124.8542,583.655204970592,1995
43.3023,-124.8655,552.770910538186,1995
43.3025,-124.8772,353.968790076505,1995
43.3028,-124.8888,280.194242250033,1995
43.3033,-124.9002,483.219148277539,1995
43.3033,-124.9118,504.415875823641,1995
43.303,-124.9232,504.829874408526,1995
43.3027,-124.9347,743.955457037987,1995
43.3025,-124.9462,401.164628753372,1995
43.302,-124.9577,495.556306107107,1995
43.3018,-124.9692,519.485424313448,1995
43.3015,-124.9805,380.878698094017,1995
43.3013,-124.9922,301.556569230089,1995
43.301,-125.0037,236.889990271083,1995
43.3008,-125.015,136.867932162915,1995
43.3012,-125.0265,155.2494693318,1995
43.3012,-125.0382,153.34507584133,1995
43.3015,-125.0495,133.47314376686,1995
43.3017,-125.061,206.833693008446,1995
43.3018,-125.0725,154.255872728077,1995
43.3022,-125.084,146.389899615266,1995
43.3023,-125.0957,98.4488634856056,1995
43.3023,-125.1072,493.81751205059,1995
43.3028,-125.1187,848.117500995003,1995
43.3028,-125.1302,1066.95715296511,1995
43.3032,-125.1417,1004.94016494937,1995
43.3037,-125.1532,469.639994693318,1995
43.3035,-125.1645,548.29972582143,1995
43.3032,-125.176,102.506049617477,1995
43.3028,-125.1873,141.173517445717,1995
43.3028,-125.1988,4.30558528280193,1995
43.47,-125.2377,86.3601048069694,1995
43.4718,-125.2275,146.389899615266,1995
43.4707,-125.2162,132.893545748021,1995
43.4702,-125.2045,334.014058285057,1995
43.4697,-125.1932,173.548206783708,1995
43.4688,-125.1815,367.051145358864,1995
43.4687,-125.1702,390.31786582939,1995
43.4683,-125.1585,165.765033387874,1995
43.4683,-125.147,162.453044708796,1995
43.4682,-125.1353,149.205089992482,1995
43.4683,-125.124,474.939176579843,1995
43.4683,-125.1125,316.957316587804,1995
43.4685,-125.101,146.638298766196,1995
43.4685,-125.0895,129.91275593685,1995
43.4687,-125.0778,97.5380665988591,1995
43.4685,-125.0663,88.7612965993013,1995
43.4692,-125.055,213.457670366603,1995
43.4692,-125.0433,424.10015035599,1995
43.4692,-125.0318,1201.09269446778,1995
43.4695,-125.0203,1191.15672843055,1995
43.4695,-125.0088,658.34054968381,1995
43.469,-124.9975,467.073203467032,1995
43.4687,-124.9858,398.515037810109,1995
43.4685,-124.9747,1353.03017512051,1995
43.4677,-124.9628,662.397735815681,1995
43.467,-124.9515,1011.89534117543,1995
43.4672,-124.94,703.797594304161,1995
43.4678,-124.9285,475.767173749613,1995
43.4673,-124.917,903.676111086543,1995
43.4673,-124.9053,2124.47513819484,1995
43.4678,-124.894,961.635912970415,1995
43.4678,-124.8827,1249.03373059744,1995
43.4678,-124.8718,1076.56192013444,1995
43.4678,-124.8602,252.621936496705,1995
43.4682,-124.8488,1212.1878565427,1995
43.4682,-124.8373,2009.88032989873,1995
43.468,-124.8257,866.99583646575,1995
43.4678,-124.8143,634.577030911423,1995
43.4685,-124.8027,761.177798169195,1995
43.4682,-124.7912,763.661789678504,1995
43.4678,-124.7795,495.307906956176,1995
43.4675,-124.7682,517.415431389024,1995
43.4677,-124.7567,543.994140538628,1995
43.468,-124.745,754.22262194313,1995
43.468,-124.7338,830.729560429841,1995
43.468,-124.7222,800.176464865343,1995
43.468,-124.7107,648.735782514483,1995
43.4682,-124.6992,69.8001614115774,1995
43.4682,-124.6648,160.614756164927,1995
43.4682,-124.6532,484.041734064201,1995
43.4683,-124.6417,432.101638786986,1995
43.4683,-124.6302,588.820887806122,1995
43.4683,-124.6187,580.929988715929,1995
43.4685,-124.607,741.644629679466,1995
43.4683,-124.5957,834.637377185403,1995
43.4683,-124.5842,3348.3382190054,1995
43.4682,-124.5727,2654.73817745735,1995
43.4682,-124.5612,76.7115253325024,1995
43.4678,-124.5495,4.59470073606134,1995
43.4682,-124.538,353.392417482283,1995
43.4682,-124.5263,7.79101429158227,1995
43.4685,-124.515,216.050819393493,1995
43.636,-124.4723,2683.1054602626,1995
43.6357,-124.4838,897.265145913892,1995
43.6353,-124.4953,1183.23532433441,1995
43.6352,-124.507,1720.81531045358,1995
43.6347,-124.5185,1475.69801466457,1995
43.6345,-124.53,2547.26213415296,1995
43.6353,-124.5457,1199.41666170923,1995
43.6342,-124.5572,827.345786886871,1995
43.6333,-124.5687,2590.21259755528,1995
43.6337,-124.5802,1083.15075612716,1995
43.6345,-124.5917,1433.84628404697,1995
43.6343,-124.6032,4920.72471872447,1995
43.6348,-124.6148,1767.16185700864,1995
43.635,-124.6263,1805.21796527906,1995
43.6355,-124.6378,1150.47311039032,1995
43.6355,-124.6493,1533.23165866395,1995
43.635,-124.661,371.271796433478,1995
43.6347,-124.6727,118.363486352885,1995
43.6345,-124.6842,488.037126008602,1995
43.6348,-124.6957,322.128475517344,1995
43.6335,-124.7533,87.0225025427851,1995
43.6337,-124.765,395.865446866847,1995
43.6338,-124.7765,863.766647503648,1995
43.6333,-124.788,385.929480829611,1995
43.634,-124.7995,556.000099500287,1995
43.6343,-124.8108,37.7566709414938,1995
43.6338,-124.8225,196.980526688188,1995
43.634,-124.8342,264.048297439526,1995
43.634,-124.8458,271.583071684429,1995
43.634,-124.8572,762.66819307478,1995
43.6342,-124.8687,670.263708928493,1995
43.6342,-124.8803,508.887060540397,1995
43.6343,-124.8917,1045.84322513598,1995
43.634,-124.9033,905.497704860036,1995
43.6342,-124.9148,850.93269137222,1995
43.6348,-124.9265,1789.71588245699,1995
43.6348,-124.9382,1372.23970945916,1995
43.6353,-124.9495,283.589030646089,1995
43.6358,-124.961,227.202423384779,1995
43.6358,-124.9727,531.40858355813,1995
43.6358,-124.9842,293.856195551232,1995
43.6353,-124.996,648.156184495644,1995
43.6352,-125.0073,1167.31040994118,1995
43.6353,-125.019,55.3930106575864,1995
43.6357,-125.0307,104.741641975855,1995
43.6358,-125.0423,96.5444699951355,1995
43.6353,-125.054,135.046338389422,1995
43.6355,-125.0657,36.9286737717242,1995
43.635,-125.0885,3.64318754698625,1995
43.6343,-125.1002,41.8966567903418,1995
43.8015,-125.2775,1.49039490558528,1995
43.8025,-125.2658,202.445308008668,1995
43.8027,-125.2543,266.863487816743,1995
43.803,-125.2428,385.43268252775,1995
43.8032,-125.2312,684.091261663645,1995
43.8032,-125.2197,1455.1222261531,1995
43.8038,-125.2082,2102.53321319595,1995
43.8033,-125.1965,883.224580993234,1995
43.8028,-125.1848,818.392402600274,1995
43.8028,-125.1733,919.822055897051,1995
43.8018,-125.1618,495.72190554106,1995
43.8015,-125.1503,1909.11307433777,1995
43.801,-125.1387,1017.93972051475,1995
43.8,-125.1273,1173.68598814841,1995
43.8005,-125.1157,804.813249016053,1995
43.8013,-125.104,126.93196612568,1995
43.8017,-125.091,2796.72604033078,1995
43.8015,-125.0793,2264.32386016893,1995
43.8015,-125.0677,709.427975058595,1995
43.8015,-125.0562,893.077747313492,1995
43.8015,-125.0447,1260.95688984213,1995
43.8017,-125.033,2905.93886702339,1995
43.8013,-125.0215,956.833529385751,1995
43.8015,-125.0102,1686.05063680184,1995
43.8017,-124.9985,1099.00064343519,1995
43.801,-124.9868,1257.97610003096,1995
43.8008,-124.9752,422.526955733428,1995
43.8012,-124.9638,541.592948746296,1995
43.8015,-124.952,518.574627426701,1995
43.8017,-124.9405,2780.33169636935,1995
43.802,-124.929,681.441670720382,1995
43.8025,-124.9173,1758.4175894397,1995
