"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",3868.88659724904,3764.34346953283
"2","as.factor(year) + s(temp) + s(dist)",3807.48141999642,3654.10463367563
"3","as.factor(year) + temp",3970.99185417166,3701.73492729909
"4","as.factor(year) + dist",3813.46455005235,3647.30145290141
"5","as.factor(year) + s(temp)",3972.40216351634,3698.6420056511
"6","as.factor(year) + s(dist)",3815.4645501677,3649.30205572325
"7","as.factor(year)",3972.02355577984,3697.43027417729
"8","temp + dist",3814.44575469102,3612.11211178473
"9","s(temp) + s(dist)",3818.445755004,3616.10615573676
"10","temp",3943.49933760871,3669.2894027882
"11","dist",3817.19342609014,3611.00769994953
"12","s(temp)",3945.01068379257,3666.5283501063
"13","s(dist)",3819.19342638015,3613.00279036499
"14","as.factor(year) + s(temp) + dist",3805.48142009715,3652.10449348628
"15","as.factor(year) + temp + s(dist)",3805.48142026863,3652.10465644059
"16","temp + s(dist)",3816.44575501153,3614.10611104297
"17","s(temp) + dist",3816.44575514464,3614.10606782839
"18","no fixed effects",3944.26597212773,3664.95741672224
