empty, tag_id, proj,trans_status, esu_type, obs_time
,384.36F2B5A872,LMN,T,SR_Ch1,2013-05-08 10:37:48
,384.36F2B5A8AB,LWG,T,SR_Ch1,2013-05-15 14:38:11
,384.36F2B5A8AD,LMN,T,SR_Ch1,2013-05-21 18:41:56
,384.36F2B5A906,LMN,T,SR_Ch1,2013-05-09 14:31:57
,384.36F2B5A90B,LWG,T,SR_Ch1,2013-05-13 21:21:23
,384.36F2B5A916,LWG,T,SR_Ch1,2013-06-14 01:41:17
,384.36F2B5A947,LWG,T,SR_Ch1,2013-05-09 01:24:07
,384.36F2B5A973,LWG,T,SR_Ch1,2013-05-03 00:10:01
,384.36F2B5A97D,LWG,T,SR_Ch1,2013-05-09 21:10:12
,384.36F2B5AA30,LGS,T,SR_Ch1,2013-06-13 17:55:05
,384.36F2B5AA4D,LWG,T,SR_Ch1,2013-06-12 18:28:32
,384.3B2394CA12,LGS,T,Not_listed,2013-05-11 01:29:24
,384.3B23953741,LWG,S,Not_listed,2013-06-01 08:59:58
,384.3B2395B8C6,LGS,T,Not_listed,2013-05-05 01:43:48
,384.3B2395C2AE,LWG,T,Not_listed,2013-05-03 01:56:00
,384.3B2395C2E3,LMN,T,Not_listed,2013-05-13 20:03:17
,384.3B2395C320,LWG,T,Not_listed,2013-05-11 15:55:43
,384.3B2395C38A,LWG,T,Not_listed,2013-04-30 03:55:30
,384.3B2395C3CA,LWG,T,Not_listed,2013-04-30 03:30:07
,384.3B2395C3DF,LWG,T,Not_listed,2013-05-02 04:05:42
,384.3B2395C3E8,LWG,T,Not_listed,2013-05-11 02:09:35
,384.3B2395C400,LGS,T,Not_listed,2013-05-13 14:41:00
,384.3B2395CD24,LWG,S,Not_listed,2013-06-01 09:14:53
,384.3B2395CECB,LGS,T,Not_listed,2013-05-03 14:40:10
,384.3B2395CEEC,LGS,T,Not_listed,2013-05-06 00:22:51
,384.3B2395CEEE,LMN,T,Not_listed,2013-05-09 23:20:11
,384.3B2395CF10,LGS,T,Not_listed,2013-05-04 23:10:14
,384.3B2395CF42,LWG,T,Not_listed,2013-05-06 23:19:26
,384.3B2395D0AC,LGS,T,Not_listed,2013-05-04 13:48:09
,384.3B2395D0B4,LGS,T,Not_listed,2013-05-04 03:04:45
,384.3B2395DC16,LMN,T,Not_listed,2013-05-08 04:06:53
,384.3B2395DC39,LWG,T,Not_listed,2013-04-30 21:23:19
,384.3B2395DC86,LWG,T,Not_listed,2013-05-04 20:28:42
,384.3B2395DDEA,LWG,T,Not_listed,2013-04-28 20:52:45
,384.3B2395DE3C,LWG,T,Not_listed,2013-05-07 21:36:33
,384.3B2395EC4D,LWG,T,Not_listed,2013-05-04 22:40:25
,384.3B2395EC53,LWG,S,Not_listed,2013-04-29 23:02:24
,384.3B2395EC5C,LWG,T,Not_listed,2013-04-29 21:00:16
,384.3B2395EC78,LGS,T,Not_listed,2013-05-04 03:56:50
,384.3B2395F71E,LWG,T,Not_listed,2013-04-30 15:24:59
,384.3B2395F933,LWG,T,Not_listed,2013-04-28 23:29:08
,384.3B2395F93C,LWG,T,Not_listed,2013-04-30 02:47:04
,384.3B23960524,LWG,T,Not_listed,2013-05-01 01:22:28
,384.3B2396076C,LWG,T,Not_listed,2013-04-30 23:54:21
,384.3B239607A3,LWG,T,Not_listed,2013-05-02 20:11:44
,384.3B239607A6,LWG,T,Not_listed,2013-05-08 02:43:21
,384.3B23961354,LWG,T,Not_listed,2013-04-30 04:02:23
,384.3B23961390,LGS,T,Not_listed,2013-05-06 01:07:04
,384.3B239613C2,LGS,T,Not_listed,2013-05-04 03:43:07
,384.3B2396152A,LWG,T,Not_listed,2013-04-27 23:14:36
,384.3B23961575,LWG,T,Not_listed,2013-05-08 10:20:59
,384.3B2396157D,LWG,T,Not_listed,2013-04-30 00:45:34
,384.3B2396157F,LWG,T,Not_listed,2013-04-30 07:11:06
,384.3B23961583,LWG,T,Not_listed,2013-05-15 11:59:40
,384.3B2396212A,LWG,T,Not_listed,2013-05-09 04:51:15
,384.3B2396216C,LWG,T,Not_listed,2013-04-29 22:34:07
,384.3B23962282,LWG,T,Not_listed,2013-04-29 02:45:16
,384.3B239622A7,LGS,T,Not_listed,2013-05-04 23:51:39
,384.3B239622DB,LWG,T,Not_listed,2013-05-08 01:37:41
,384.3B23962DF3,LWG,T,Not_listed,2013-05-14 02:16:11
,384.3B23962DF6,LMN,T,Not_listed,2013-05-13 21:42:31
,384.3B23962DFD,LGS,T,Not_listed,2013-05-04 03:30:18
,384.3B23962DFF,LWG,T,Not_listed,2013-05-13 03:05:20
,384.3B23962E19,LWG,T,Not_listed,2013-05-06 01:29:20
,384.3B23962E1D,LWG,T,Not_listed,2013-05-10 21:37:40
,384.3B23962EB9,LWG,T,Not_listed,2013-04-28 23:58:24
,384.3B23962ED6,LWG,T,Not_listed,2013-05-13 21:29:56
,384.3B23962EFD,LWG,T,Not_listed,2013-04-29 21:58:14
