time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2016-06-24T12:00:00Z,44.075,-126.175,16.52
2016-06-24T12:00:00Z,44.075,-126.125,16.56
2016-06-24T12:00:00Z,44.075,-126.075,16.6
2016-06-24T12:00:00Z,44.075,-126.025,16.62
2016-06-24T12:00:00Z,44.075,-125.975,16.66
2016-06-24T12:00:00Z,44.075,-125.925,16.67
2016-06-24T12:00:00Z,44.075,-125.875,16.68
2016-06-24T12:00:00Z,44.075,-125.825,16.66
2016-06-24T12:00:00Z,44.075,-125.775,16.63
2016-06-24T12:00:00Z,44.075,-125.725,16.580000000000002
2016-06-24T12:00:00Z,44.075,-125.675,16.5
2016-06-24T12:00:00Z,44.075,-125.625,16.41
2016-06-24T12:00:00Z,44.075,-125.575,16.330000000000002
2016-06-24T12:00:00Z,44.075,-125.525,16.26
2016-06-24T12:00:00Z,44.075,-125.475,16.2
2016-06-24T12:00:00Z,44.075,-125.425,16.14
2016-06-24T12:00:00Z,44.075,-125.375,16.07
2016-06-24T12:00:00Z,44.075,-125.325,16.0
2016-06-24T12:00:00Z,44.075,-125.275,15.91
2016-06-24T12:00:00Z,44.075,-125.225,15.83
2016-06-24T12:00:00Z,44.075,-125.175,15.73
2016-06-24T12:00:00Z,44.075,-125.125,15.63
2016-06-24T12:00:00Z,44.075,-125.075,15.52
2016-06-24T12:00:00Z,44.075,-125.025,15.39
2016-06-24T12:00:00Z,44.075,-124.975,15.26
2016-06-24T12:00:00Z,44.075,-124.925,15.11
2016-06-24T12:00:00Z,44.075,-124.875,14.97
2016-06-24T12:00:00Z,44.075,-124.825,14.83
2016-06-24T12:00:00Z,44.075,-124.775,14.68
2016-06-24T12:00:00Z,44.075,-124.725,14.55
2016-06-24T12:00:00Z,44.075,-124.675,14.44
2016-06-24T12:00:00Z,44.075,-124.625,14.33
2016-06-24T12:00:00Z,44.075,-124.575,14.24
2016-06-24T12:00:00Z,44.075,-124.525,14.14
2016-06-24T12:00:00Z,44.075,-124.475,14.02
2016-06-24T12:00:00Z,44.075,-124.425,13.870000000000001
2016-06-24T12:00:00Z,44.075,-124.375,13.71
2016-06-24T12:00:00Z,44.075,-124.325,13.55
2016-06-24T12:00:00Z,44.075,-124.275,13.4
2016-06-24T12:00:00Z,44.075,-124.225,13.290000000000001
2016-06-24T12:00:00Z,44.075,-124.175,13.23
2016-06-24T12:00:00Z,44.075,-124.125,13.19
2016-06-24T12:00:00Z,44.075,-124.075,NaN
2016-06-24T12:00:00Z,44.075,-124.025,NaN
2016-06-24T12:00:00Z,44.075,-123.975,NaN
2016-06-24T12:00:00Z,44.075,-123.925,NaN
2016-06-24T12:00:00Z,44.075,-123.875,NaN
2016-06-24T12:00:00Z,44.075,-123.825,NaN
2016-06-24T12:00:00Z,44.075,-123.775,NaN
2016-06-24T12:00:00Z,44.075,-123.725,NaN
2016-06-24T12:00:00Z,44.075,-123.675,NaN
2016-06-24T12:00:00Z,44.075,-123.625,NaN
2016-06-24T12:00:00Z,44.075,-123.575,NaN
2016-06-24T12:00:00Z,44.075,-123.525,NaN
2016-06-24T12:00:00Z,44.075,-123.475,NaN
2016-06-24T12:00:00Z,44.075,-123.425,NaN
2016-06-24T12:00:00Z,44.075,-123.375,NaN
2016-06-24T12:00:00Z,44.075,-123.325,NaN
2016-06-24T12:00:00Z,44.075,-123.275,NaN
2016-06-24T12:00:00Z,44.075,-123.225,NaN
2016-06-24T12:00:00Z,44.075,-123.175,NaN
2016-06-24T12:00:00Z,44.075,-123.125,NaN
2016-06-24T12:00:00Z,44.075,-123.075,NaN
2016-06-24T12:00:00Z,44.075,-123.025,NaN
2016-06-24T12:00:00Z,44.075,-122.975,NaN
2016-06-24T12:00:00Z,44.125,-126.975,16.14
2016-06-24T12:00:00Z,44.125,-126.925,16.11
2016-06-24T12:00:00Z,44.125,-126.875,16.09
2016-06-24T12:00:00Z,44.125,-126.825,16.07
2016-06-24T12:00:00Z,44.125,-126.775,16.06
2016-06-24T12:00:00Z,44.125,-126.725,16.05
2016-06-24T12:00:00Z,44.125,-126.675,16.07
2016-06-24T12:00:00Z,44.125,-126.625,16.09
2016-06-24T12:00:00Z,44.125,-126.575,16.12
2016-06-24T12:00:00Z,44.125,-126.525,16.16
2016-06-24T12:00:00Z,44.125,-126.475,16.19
2016-06-24T12:00:00Z,44.125,-126.425,16.23
2016-06-24T12:00:00Z,44.125,-126.375,16.29
2016-06-24T12:00:00Z,44.125,-126.325,16.35
2016-06-24T12:00:00Z,44.125,-126.275,16.42
2016-06-24T12:00:00Z,44.125,-126.225,16.48
2016-06-24T12:00:00Z,44.125,-126.175,16.52
2016-06-24T12:00:00Z,44.125,-126.125,16.56
2016-06-24T12:00:00Z,44.125,-126.075,16.6
2016-06-24T12:00:00Z,44.125,-126.025,16.63
2016-06-24T12:00:00Z,44.125,-125.975,16.67
2016-06-24T12:00:00Z,44.125,-125.925,16.68
2016-06-24T12:00:00Z,44.125,-125.875,16.68
2016-06-24T12:00:00Z,44.125,-125.825,16.66
2016-06-24T12:00:00Z,44.125,-125.775,16.62
2016-06-24T12:00:00Z,44.125,-125.725,16.57
2016-06-24T12:00:00Z,44.125,-125.675,16.490000000000002
2016-06-24T12:00:00Z,44.125,-125.625,16.4
2016-06-24T12:00:00Z,44.125,-125.575,16.330000000000002
2016-06-24T12:00:00Z,44.125,-125.525,16.27
2016-06-24T12:00:00Z,44.125,-125.475,16.21
2016-06-24T12:00:00Z,44.125,-125.425,16.16
2016-06-24T12:00:00Z,44.125,-125.375,16.080000000000002
2016-06-24T12:00:00Z,44.125,-125.325,16.01
2016-06-24T12:00:00Z,44.125,-125.275,15.91
2016-06-24T12:00:00Z,44.125,-125.225,15.82
2016-06-24T12:00:00Z,44.125,-125.175,15.71
2016-06-24T12:00:00Z,44.125,-125.125,15.6
2016-06-24T12:00:00Z,44.125,-125.075,15.49
2016-06-24T12:00:00Z,44.125,-125.025,15.370000000000001
2016-06-24T12:00:00Z,44.125,-124.975,15.24
2016-06-24T12:00:00Z,44.125,-124.925,15.09
2016-06-24T12:00:00Z,44.125,-124.875,14.96
2016-06-24T12:00:00Z,44.125,-124.825,14.81
2016-06-24T12:00:00Z,44.125,-124.775,14.67
2016-06-24T12:00:00Z,44.125,-124.725,14.540000000000001
2016-06-24T12:00:00Z,44.125,-124.675,14.43
2016-06-24T12:00:00Z,44.125,-124.625,14.33
2016-06-24T12:00:00Z,44.125,-124.575,14.24
2016-06-24T12:00:00Z,44.125,-124.525,14.14
2016-06-24T12:00:00Z,44.125,-124.475,14.02
2016-06-24T12:00:00Z,44.125,-124.425,13.870000000000001
2016-06-24T12:00:00Z,44.125,-124.375,13.71
2016-06-24T12:00:00Z,44.125,-124.325,13.55
2016-06-24T12:00:00Z,44.125,-124.275,13.39
2016-06-24T12:00:00Z,44.125,-124.225,13.290000000000001
2016-06-24T12:00:00Z,44.125,-124.175,13.23
2016-06-24T12:00:00Z,44.125,-124.125,13.19
2016-06-24T12:00:00Z,44.125,-124.075,NaN
2016-06-24T12:00:00Z,44.125,-124.025,NaN
2016-06-24T12:00:00Z,44.125,-123.975,NaN
2016-06-24T12:00:00Z,44.125,-123.925,NaN
2016-06-24T12:00:00Z,44.125,-123.875,NaN
2016-06-24T12:00:00Z,44.125,-123.825,NaN
2016-06-24T12:00:00Z,44.125,-123.775,NaN
2016-06-24T12:00:00Z,44.125,-123.725,NaN
2016-06-24T12:00:00Z,44.125,-123.675,NaN
2016-06-24T12:00:00Z,44.125,-123.625,NaN
2016-06-24T12:00:00Z,44.125,-123.575,NaN
2016-06-24T12:00:00Z,44.125,-123.525,NaN
2016-06-24T12:00:00Z,44.125,-123.475,NaN
2016-06-24T12:00:00Z,44.125,-123.425,NaN
2016-06-24T12:00:00Z,44.125,-123.375,NaN
2016-06-24T12:00:00Z,44.125,-123.325,NaN
2016-06-24T12:00:00Z,44.125,-123.275,NaN
2016-06-24T12:00:00Z,44.125,-123.225,NaN
2016-06-24T12:00:00Z,44.125,-123.175,NaN
2016-06-24T12:00:00Z,44.125,-123.125,NaN
2016-06-24T12:00:00Z,44.125,-123.075,NaN
2016-06-24T12:00:00Z,44.125,-123.025,NaN
2016-06-24T12:00:00Z,44.125,-122.975,NaN
2016-06-24T12:00:00Z,44.175,-126.975,16.1
2016-06-24T12:00:00Z,44.175,-126.925,16.07
2016-06-24T12:00:00Z,44.175,-126.875,16.05
2016-06-24T12:00:00Z,44.175,-126.825,16.04
2016-06-24T12:00:00Z,44.175,-126.775,16.04
2016-06-24T12:00:00Z,44.175,-126.725,16.04
2016-06-24T12:00:00Z,44.175,-126.675,16.07
2016-06-24T12:00:00Z,44.175,-126.625,16.1
2016-06-24T12:00:00Z,44.175,-126.575,16.13
2016-06-24T12:00:00Z,44.175,-126.525,16.17
2016-06-24T12:00:00Z,44.175,-126.475,16.2
2016-06-24T12:00:00Z,44.175,-126.425,16.25
2016-06-24T12:00:00Z,44.175,-126.375,16.3
2016-06-24T12:00:00Z,44.175,-126.325,16.36
2016-06-24T12:00:00Z,44.175,-126.275,16.42
2016-06-24T12:00:00Z,44.175,-126.225,16.490000000000002
2016-06-24T12:00:00Z,44.175,-126.175,16.53
2016-06-24T12:00:00Z,44.175,-126.125,16.580000000000002
2016-06-24T12:00:00Z,44.175,-126.075,16.62
2016-06-24T12:00:00Z,44.175,-126.025,16.65
2016-06-24T12:00:00Z,44.175,-125.975,16.68
2016-06-24T12:00:00Z,44.175,-125.925,16.69
2016-06-24T12:00:00Z,44.175,-125.875,16.68
2016-06-24T12:00:00Z,44.175,-125.825,16.66
2016-06-24T12:00:00Z,44.175,-125.775,16.61
2016-06-24T12:00:00Z,44.175,-125.725,16.55
2016-06-24T12:00:00Z,44.175,-125.675,16.48
2016-06-24T12:00:00Z,44.175,-125.625,16.4
2016-06-24T12:00:00Z,44.175,-125.575,16.34
2016-06-24T12:00:00Z,44.175,-125.525,16.28
